Taxon,taxon,binomial,genus,species,subspecies,taxon,Status,Accepted name,Authority,Collection source,ETS accession,ITS accession,matK accession,psbA accession
Eucalyptus deanei,eucalyptus deanei,eucalyptus deanei,eucalyptus,deanei,NA,eucalyptus deanei,Accepted,,Maiden,Currency Creek 633,KT631632,KT631051,KT632816,
Eucalyptus decipiens subsp. decipens,eucalyptus decipiens subsp. decipens,eucalyptus decipiens,eucalyptus,decipiens,decipens,eucalyptus decipiens subsp. decipens,Accepted,,Endl.,Currency Creek 3700,KT631633,KT631052,KT632817,KT632246
Eucalyptus decolor,eucalyptus decolor,eucalyptus decolor,eucalyptus,decolor,NA,eucalyptus decolor,Accepted,,A.R.Bean & Brooker,Currency Creek 2545,KT631634,KT631053,KT632818,KT632247
Eucalyptus decorticans,eucalyptus decorticans,eucalyptus decorticans,eucalyptus,decorticans,NA,eucalyptus decorticans,Accepted,,(F.M.Bailey) Maiden,ANBG 73445,KT631635,KT631054,KT632819,KT632248
Eucalyptus decurva,eucalyptus decurva,eucalyptus decurva,eucalyptus,decurva,NA,eucalyptus decurva,Accepted,,F.Muell.,CANB 794258**,KT631636,KT631055,KT632820,KT632249
Eucalyptus deflexa,eucalyptus deflexa,eucalyptus deflexa,eucalyptus,deflexa,NA,eucalyptus deflexa,Accepted,,Brooker,Currency Creek 1110,KT631637,KT631056,KT632821,KT632250
Eucalyptus deglupta,eucalyptus deglupta,eucalyptus deglupta,eucalyptus,deglupta,NA,eucalyptus deglupta,Accepted,,Blume,BG 859,DQ352531,KT631057,KT632822,KT632251
Eucalyptus delegatensis subsp. delegatensis,eucalyptus delegatensis subsp. delegatensis,eucalyptus delegatensis,eucalyptus,delegatensis,delegatensis,eucalyptus delegatensis subsp. delegatensis,Accepted,,F.Muell. ex R.T.Baker,GenBank,KT631638,AF058480,,
Eucalyptus delicata,eucalyptus delicata,eucalyptus delicata,eucalyptus,delicata,NA,eucalyptus delicata,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 2262,KT631639,AF390507,KT632823,KT632252
Eucalyptus densa subsp. densa,eucalyptus densa subsp. densa,eucalyptus densa,eucalyptus,densa,densa,eucalyptus densa subsp. densa,Accepted,,Brooker & Hopper,Currency Creek 1111,KT631640,KT631058,,
Eucalyptus denticulata,eucalyptus denticulata,eucalyptus denticulata,eucalyptus,denticulata,NA,eucalyptus denticulata,Accepted,,I.O.Cook & Ladiges,Currency Creek 1743,KT631641,KT631059,KT632824,KT632253
Eucalyptus depauperata,eucalyptus depauperata,eucalyptus depauperata,eucalyptus,depauperata,NA,eucalyptus depauperata,Accepted,,L.A.S.Johnson & K.D.Hill,CANB 794299**,KT631642,KT631060,KT632825,KT632254
Eucalyptus desmondensis,eucalyptus desmondensis,eucalyptus desmondensis,eucalyptus,desmondensis,NA,eucalyptus desmondensis,Accepted,,Maiden & Blakely,Currency Creek 192,KT631643,KT631061,KT632826,KT632255
Eucalyptus deuaensis,eucalyptus deuaensis,eucalyptus deuaensis,eucalyptus,deuaensis,NA,eucalyptus deuaensis,Accepted,,Boland & P.M.Gilmour,Currency Creek 1769,KT631644,FJ494714,KT632827,KT632256
Eucalyptus dielsii,eucalyptus dielsii,eucalyptus dielsii,eucalyptus,dielsii,NA,eucalyptus dielsii,Accepted,,C.A.Gardner,Currency Creek 3596,KT631645,KT631062,KT632828,KT632257
Eucalyptus diminuta,eucalyptus diminuta,eucalyptus diminuta,eucalyptus,diminuta,NA,eucalyptus diminuta,Accepted,,Brooker & Hopper,Currency Creek 1168,KT631646,KT631063,KT632829,KT632258
Eucalyptus diptera,eucalyptus diptera,eucalyptus diptera,eucalyptus,diptera,NA,eucalyptus diptera,Accepted,,C.R.P.Andrews,Currency Creek 146,KT631647,KT631064,KT632830,KT632259
Eucalyptus disclusa,eucalyptus disclusa,eucalyptus disclusa,eucalyptus,disclusa,NA,eucalyptus disclusa,Accepted,,L.A.S.Johnson & Blaxell,Currency Creek 707,KT631648,KT631065,KT632831,KT632260
Eucalyptus discreta,eucalyptus discreta,eucalyptus discreta,eucalyptus,discreta,NA,eucalyptus discreta,Accepted,,Brooker,Currency Creek 1091,KT631649,KT631066,KT632832,KT632261
Eucalyptus dissimulata,eucalyptus dissimulata,eucalyptus dissimulata,eucalyptus,dissimulata,NA,eucalyptus dissimulata,Accepted,,Brooker,Currency Creek s.n.,KT631650,KT631067,KT632833,KT632262
Eucalyptus distans,eucalyptus distans,eucalyptus distans,eucalyptus,distans,NA,eucalyptus distans,Accepted,,"Brooker, Boland & Kleinig",CANB 409167**,KT631651,KT631068,,KT632263
Eucalyptus distuberosa subsp. aerata,eucalyptus distuberosa subsp. aerata,eucalyptus distuberosa,eucalyptus,distuberosa,aerata,eucalyptus distuberosa subsp. aerata,Accepted,,D.Nicolle,Currency Creek 3563,KT631652,KT631069,KT632834,
Eucalyptus diversicolor,eucalyptus diversicolor,eucalyptus diversicolor,eucalyptus,diversicolor,NA,eucalyptus diversicolor,Accepted,,F.Muell.,ANBG 7901541,KT631653,AF390493,KT632835,KT632264
Eucalyptus diversifolia subsp. diversifolia,eucalyptus diversifolia subsp. diversifolia,eucalyptus diversifolia,eucalyptus,diversifolia,diversifolia,eucalyptus diversifolia subsp. diversifolia,Accepted,,Bonpl.,GenBank,FJ494745,AF058483,,
Eucalyptus dives,eucalyptus dives,eucalyptus dives,eucalyptus,dives,NA,eucalyptus dives,Accepted,,Schauer,ANBG 7809979,KT631654,AF058503,KT632836,KT632265
Eucalyptus dolichocera,eucalyptus dolichocera,eucalyptus dolichocera,eucalyptus,dolichocera,NA,eucalyptus dolichocera,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3525,KT631655,KT631070,KT632837,KT632266
Eucalyptus dolichorhyncha,eucalyptus dolichorhyncha,eucalyptus dolichorhyncha,eucalyptus,dolichorhyncha,NA,eucalyptus dolichorhyncha,Accepted,,(Brooker) Brooker & Hopper,Currency Creek 152,KT631656,KT631071,KT632838,KT632267
Eucalyptus dolorosa,eucalyptus dolorosa,eucalyptus dolorosa,eucalyptus,dolorosa,NA,eucalyptus dolorosa,Accepted,,Brooker & Hopper,ANBG 610751,KT631657,KT631072,KT632839,KT632268
Eucalyptus dorotoxylon,eucalyptus dorotoxylon,eucalyptus dorotoxylon,eucalyptus,dorotoxylon,NA,eucalyptus dorotoxylon,Accepted,,F.Muell.,Currency Creek 178,KT631658,KT631073,KT632840,KT632269
Eucalyptus drummondii subsp. drummondii,eucalyptus drummondii subsp. drummondii,eucalyptus drummondii,eucalyptus,drummondii,drummondii,eucalyptus drummondii subsp. drummondii,Accepted,,Benth.,Currency Creek 1156,KT631659,KT631074,KT632841,KT632270
Eucalyptus dumosa,eucalyptus dumosa,eucalyptus dumosa,eucalyptus,dumosa,NA,eucalyptus dumosa,Accepted,,A.Cunn. ex Oxley,Currency Creek 981,KT631660,KT631075,KT632842,KT632271
Eucalyptus dundasii,eucalyptus dundasii,eucalyptus dundasii,eucalyptus,dundasii,NA,eucalyptus dundasii,Accepted,,Maiden,Currency Creek 2175,KT631661,AF390501,KT632843,KT632272
Eucalyptus dunnii,eucalyptus dunnii,eucalyptus dunnii,eucalyptus,dunnii,NA,eucalyptus dunnii,Accepted,,Maiden,Currency Creek 1257,KT631662,AF390510,KT632844,KT632273
Eucalyptus dura,eucalyptus dura,eucalyptus dura,eucalyptus,dura,NA,eucalyptus dura,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 689,KT631663,KT631076,,
Eucalyptus dwyeri,eucalyptus dwyeri,eucalyptus dwyeri,eucalyptus,dwyeri,NA,eucalyptus dwyeri,Accepted,,Maiden & Blakely,ANBG 9406593,KT631664,KT631077,KT632846,KT632274
Eucalyptus ebbanoensis subsp. ebbanoensis,eucalyptus ebbanoensis subsp. ebbanoensis,eucalyptus ebbanoensis,eucalyptus,ebbanoensis,ebbanoensis,eucalyptus ebbanoensis subsp. ebbanoensis,Accepted,,Maiden,ANBG 9806509,KT631665,KT631078,KT632847,KT632275
Eucalyptus educta,eucalyptus educta,eucalyptus educta,eucalyptus,educta,NA,eucalyptus educta,Accepted,,L.A.S.Johnson & K.D.Hill,CANB 461013**,KT631666,KT631079,KT632848,
Eucalyptus effusa subsp. effusa,eucalyptus effusa subsp. effusa,eucalyptus effusa,eucalyptus,effusa,effusa,eucalyptus effusa subsp. effusa,Accepted,,Brooker,Currency Creek 3631,KT631667,KT631080,KT632849,KT632276
Eucalyptus elaeophloia,eucalyptus elaeophloia,eucalyptus elaeophloia,eucalyptus,elaeophloia,NA,eucalyptus elaeophloia,Accepted,,"Chappill, Crisp & Prober",Currency Creek 586,KT631668,KT631081,KT632850,
Eucalyptus elata,eucalyptus elata,eucalyptus elata,eucalyptus,elata,NA,eucalyptus elata,Accepted,,Dehnh.,ANBG 73059,KT631669,KT631082,KT632851,KT632277
Eucalyptus elliptica,eucalyptus elliptica,eucalyptus elliptica,eucalyptus,elliptica,NA,eucalyptus elliptica,Accepted,,(Blakely & McKie) L.A.S.Johnson,ANBG 69616,KT631670,KT631083,KT632852,KT632278
Eucalyptus erectifolia,eucalyptus erectifolia,eucalyptus erectifolia,eucalyptus,erectifolia,NA,eucalyptus erectifolia,Accepted,,Brooker & Hopper,CANB 794270**,KT631671,KT631084,KT632853,KT632279
Eucalyptus eremicola subsp. eremicola,eucalyptus eremicola subsp. eremicola,eucalyptus eremicola,eucalyptus,eremicola,eremicola,eucalyptus eremicola subsp. eremicola,Accepted,,Boomsma,Currency Creek 1500,KT631672,KT631085,KT632854,KT632280
Eucalyptus eremophila,eucalyptus eremophila,eucalyptus eremophila,eucalyptus,eremophila,NA,eucalyptus eremophila,Accepted,,(Diels) Maiden,CANB 794016**,KT631673,KT631086,KT632855,KT632281
Eucalyptus erythrocorys,eucalyptus erythrocorys,eucalyptus erythrocorys,eucalyptus,erythrocorys,NA,eucalyptus erythrocorys,Accepted,,F.Muell.,ANBG 9806156,FJ654422,AF190365,KT632856,AF190382
Eucalyptus erythronema subsp. erythronema,eucalyptus erythronema subsp. erythronema,eucalyptus erythronema,eucalyptus,erythronema,erythronema,eucalyptus erythronema subsp. erythronema,Accepted,,Turcz.,Currency Creek 3458,KT631674,KT631087,KT632857,KT632282
Eucalyptus eudesmioides subsp. eudesmioides,eucalyptus eudesmioides subsp. eudesmioides,eucalyptus eudesmioides,eucalyptus,eudesmioides,eudesmioides,eucalyptus eudesmioides subsp. eudesmioides,Accepted,,F.Muell.,CANB 794073**,KT631675,KT631088,KT632858,KT632283
Eucalyptus eugenioides,eucalyptus eugenioides,eucalyptus eugenioides,eucalyptus,eugenioides,NA,eucalyptus eugenioides,Accepted,,Sieber ex Spreng.,Currency Creek 1235,KT631676,KT631089,KT632859,KT632284
Eucalyptus ewartiana,eucalyptus ewartiana,eucalyptus ewartiana,eucalyptus,ewartiana,NA,eucalyptus ewartiana,Accepted,,Maiden,Currency Creek 2721,KT631677,KT631090,KT632860,KT632285
Eucalyptus exigua,eucalyptus exigua,eucalyptus exigua,eucalyptus,exigua,NA,eucalyptus exigua,Accepted,,Brooker & Hopper,Currency Creek 3676,KT631678,KT631091,,KT632286
Eucalyptus exilipes,eucalyptus exilipes,eucalyptus exilipes,eucalyptus,exilipes,NA,eucalyptus exilipes,Accepted,,Brooker & A.R.Bean,CANB 582959**,KT631679,,,KT632287
Eucalyptus exilis,eucalyptus exilis,eucalyptus exilis,eucalyptus,exilis,NA,eucalyptus exilis,Accepted,,Brooker,ANBG 8004906,KT631680,FJ494715,KT632861,KT632288
Eucalyptus extensa,eucalyptus extensa,eucalyptus extensa,eucalyptus,extensa,NA,eucalyptus extensa,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3467,KT631681,KT631092,KT632862,
Eucalyptus extrica,eucalyptus extrica,eucalyptus extrica,eucalyptus,extrica,NA,eucalyptus extrica,Accepted,,D.Nicolle,CANB 632680**,,FJ654392,,FJ654343
Eucalyptus falcata,eucalyptus falcata,eucalyptus falcata,eucalyptus,falcata,NA,eucalyptus falcata,Accepted,,Turcz.,CANB 630597**,KT631682,AF390506,KT632863,KT632289
Eucalyptus famelica,eucalyptus famelica,eucalyptus famelica,eucalyptus,famelica,NA,eucalyptus famelica,Accepted,,Brooker & Hopper,Waite Arboretum 2440A,KT631683,KT631093,KT632864,KT632290
Eucalyptus farinosa,eucalyptus farinosa,eucalyptus farinosa,eucalyptus,farinosa,NA,eucalyptus farinosa,Accepted,,K.D.Hill,CANB 738929**,,,KT632865,KT632291
Eucalyptus fasciculosa,eucalyptus fasciculosa,eucalyptus fasciculosa,eucalyptus,fasciculosa,NA,eucalyptus fasciculosa,Accepted,,F.Muell.,Currency Creek 1716,KT631684,KT631094,KT632866,KT632292
Eucalyptus fastigata,eucalyptus fastigata,eucalyptus fastigata,eucalyptus,fastigata,NA,eucalyptus fastigata,Accepted,,H.Deane & Maiden,ANBG 8603812,KT631685,KT631095,KT632867,KT632293
Eucalyptus fergusonii subsp. fergusonii,eucalyptus fergusonii subsp. fergusonii,eucalyptus fergusonii,eucalyptus,fergusonii,fergusonii,eucalyptus fergusonii subsp. fergusonii,Accepted,,R.T.Baker,Currency Creek 2918,KT631686,KT631096,KT632868,KT632294
Eucalyptus fibrosa subsp. fibrosa,eucalyptus fibrosa subsp. fibrosa,eucalyptus fibrosa,eucalyptus,fibrosa,fibrosa,eucalyptus fibrosa subsp. fibrosa,Accepted,,F.Muell.,Currency Creek 666,KT631687,KT631097,KT632869,KT632295
Eucalyptus flindersii,eucalyptus flindersii,eucalyptus flindersii,eucalyptus,flindersii,NA,eucalyptus flindersii,Accepted,,Boomsma,Waite Arboretum 1837B,KT631688,KT631098,KT632870,KT632296
Eucalyptus flocktoniae subsp. flocktoniae,eucalyptus flocktoniae subsp. flocktoniae,eucalyptus flocktoniae,eucalyptus,flocktoniae,flocktoniae,eucalyptus flocktoniae subsp. flocktoniae,Accepted,,(Maiden) Maiden,Currency Creek 1870,KT631689,KT631099,KT632871,KT632297
Eucalyptus foecunda,eucalyptus foecunda,eucalyptus foecunda,eucalyptus,foecunda,NA,eucalyptus foecunda,Accepted,,Schauer,Currency Creek 1152,KT631690,KT631100,KT632872,KT632298
Eucalyptus foliosa,eucalyptus foliosa,eucalyptus foliosa,eucalyptus,foliosa,NA,eucalyptus foliosa,Accepted,,L.A.S.Johnson & K.D.Hill,CANB 794339**,KT631691,KT631101,KT632873,KT632299
Eucalyptus formanii,eucalyptus formanii,eucalyptus formanii,eucalyptus,formanii,NA,eucalyptus formanii,Accepted,,C.A.Gardner,Waite Arboretum 1655,KT631692,KT631102,KT632874,
Eucalyptus forrestiana,eucalyptus forrestiana,eucalyptus forrestiana,eucalyptus,forrestiana,NA,eucalyptus forrestiana,Accepted,,Diels,CANB 804508**,KT631693,KT631103,KT632875,KT632300
Eucalyptus fraseri subsp. fraseri,eucalyptus fraseri subsp. fraseri,eucalyptus fraseri,eucalyptus,fraseri,fraseri,eucalyptus fraseri subsp. fraseri,Accepted,,(Brooker) Brooker,Currency Creek 3619,KT631694,KT631104,KT632876,KT632301
Eucalyptus fraxinoides,eucalyptus fraxinoides,eucalyptus fraxinoides,eucalyptus,fraxinoides,NA,eucalyptus fraxinoides,Accepted,,H.Deane & Maiden,ANBG 751650,KT631695,,KT632877,KT632302
Eucalyptus frenchiana,eucalyptus frenchiana,eucalyptus frenchiana,eucalyptus,frenchiana,NA,eucalyptus frenchiana,Accepted,,D.Nicolle,Currency Creek 3660,KT631696,KT631105,KT632878,KT632303
Eucalyptus froggattii,eucalyptus froggattii,eucalyptus froggattii,eucalyptus,froggattii,NA,eucalyptus froggattii,Accepted,,Blakely,Currency Creek 2583,KT631697,KT631106,KT632879,KT632304
Eucalyptus fruticosa,eucalyptus fruticosa,eucalyptus fruticosa,eucalyptus,fruticosa,NA,eucalyptus fruticosa,Accepted,,Brooker,Currency Creek 3532,KT631698,KT631107,KT632880,KT632305
Eucalyptus fulgens,eucalyptus fulgens,eucalyptus fulgens,eucalyptus,fulgens,NA,eucalyptus fulgens,Accepted,,Rule,ANBG 9707943,KT631699,KT631108,KT632881,KT632306
Eucalyptus fusiformis,eucalyptus fusiformis,eucalyptus fusiformis,eucalyptus,fusiformis,NA,eucalyptus fusiformis,Accepted,,Boland & Kleinig,ANBG 8604718,KT631700,KT631109,,KT632307
Eucalyptus gamophylla,eucalyptus gamophylla,eucalyptus gamophylla,eucalyptus,gamophylla,NA,eucalyptus gamophylla,Accepted,,F.Muell.,CANB 785577**,FJ654415,AF390469,KT632882,KT632308
Eucalyptus gardneri subsp. gardneri,eucalyptus gardneri subsp. gardneri,eucalyptus gardneri,eucalyptus,gardneri,gardneri,eucalyptus gardneri subsp. gardneri,Accepted,,Maiden,Currency Creek 3434,KT631701,KT631110,KT632883,KT632309
Eucalyptus georgei subsp. georgei,eucalyptus georgei subsp. georgei,eucalyptus georgei,eucalyptus,georgei,georgei,eucalyptus georgei subsp. georgei,Accepted,,Brooker & Blaxell,Currency Creek 325,KT631702,KT631111,,KT632310
Eucalyptus gigantangion,eucalyptus gigantangion,eucalyptus gigantangion,eucalyptus,gigantangion,NA,eucalyptus gigantangion,Accepted,,L.A.S.Johnson & K.D.Hill,CANB 454615**,KT631703,FJ654413,,KT632311
Eucalyptus gillenii,eucalyptus gillenii,eucalyptus gillenii,eucalyptus,gillenii,NA,eucalyptus gillenii,Accepted,,Ewart & L.R.Kerr,Currency Creek 2689,KT631704,KT631112,KT632884,KT632312
Eucalyptus gillii,eucalyptus gillii,eucalyptus gillii,eucalyptus,gillii,NA,eucalyptus gillii,Accepted,,Maiden,Currency Creek 2959,KT631705,KT631113,KT632885,KT632313
Eucalyptus gittinsii subsp. gittinsii,eucalyptus gittinsii subsp. gittinsii,eucalyptus gittinsii,eucalyptus,gittinsii,gittinsii,eucalyptus gittinsii subsp. gittinsii,Accepted,,Brooker & Blaxell,CANB 794094**,,KT631114,KT632886,KT632314
Eucalyptus glaucescens,eucalyptus glaucescens,eucalyptus glaucescens,eucalyptus,glaucescens,NA,eucalyptus glaucescens,Accepted,,Maiden & Blakely,Currency Creek 588,KT631706,KT631115,KT632887,KT632315
Eucalyptus glaucina,eucalyptus glaucina,eucalyptus glaucina,eucalyptus,glaucina,NA,eucalyptus glaucina,Accepted,,(Blakely) L.A.S.Johnson,Currency Creek 2085,KT631707,AF390481,KT632888,KT632316
Eucalyptus globoidea,eucalyptus globoidea,eucalyptus globoidea,eucalyptus,globoidea,NA,eucalyptus globoidea,Accepted,,Blakely,Currency Creek 1732,KT631708,KT631116,KT632889,KT632317
Eucalyptus globulus subsp. globulus,eucalyptus globulus subsp. globulus,eucalyptus globulus,eucalyptus,globulus,globulus,eucalyptus globulus subsp. globulus,Accepted,,Labill.,ANBG 85001816,KT631709,AF058463,KT632890,
Eucalyptus glomerosa,eucalyptus glomerosa,eucalyptus glomerosa,eucalyptus,glomerosa,NA,eucalyptus glomerosa,Accepted,,Brooker & Hopper,Currency Creek 1508,KT631710,KT631117,KT632891,KT632318
Eucalyptus gomphocephala,eucalyptus gomphocephala,eucalyptus gomphocephala,eucalyptus,gomphocephala,NA,eucalyptus gomphocephala,Accepted,,A.Cunn. ex DC.,Currency Creek 1148,KT631711,KT631118,KT632892,KT632319
Eucalyptus gongylocarpa,eucalyptus gongylocarpa,eucalyptus gongylocarpa,eucalyptus,gongylocarpa,NA,eucalyptus gongylocarpa,Accepted,,Blakely,CANB 804339**,KT631712,KT631119,KT632893,KT632320
Eucalyptus goniantha subsp. goniantha,eucalyptus goniantha subsp. goniantha,eucalyptus goniantha,eucalyptus,goniantha,goniantha,eucalyptus goniantha subsp. goniantha,Accepted,,Turcz.,Currency Creek 1626,KT631713,KT631120,,KT632321
Eucalyptus goniocalyx subsp. goniocalyx,eucalyptus goniocalyx subsp. goniocalyx,eucalyptus goniocalyx,eucalyptus,goniocalyx,goniocalyx,eucalyptus goniocalyx subsp. goniocalyx,Accepted,,F.Muell. ex Miq.,Currency Creek 2952,KT631714,KT631121,KT632894,KT632322
Eucalyptus goniocarpa,eucalyptus goniocarpa,eucalyptus goniocarpa,eucalyptus,goniocarpa,NA,eucalyptus goniocarpa,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 186,KT631715,KT631122,KT632895,KT632323
Eucalyptus gracilis,eucalyptus gracilis,eucalyptus gracilis,eucalyptus,gracilis,NA,eucalyptus gracilis,Accepted,,F.Muell.,Currency Creek 444,KT631716,KT631123,KT632896,KT632324
Eucalyptus grandis,eucalyptus grandis,eucalyptus grandis,eucalyptus,grandis,NA,eucalyptus grandis,Accepted,,W.Hill,GenBank,,AF058475,HM347959,HM347959
Eucalyptus granitica,eucalyptus granitica,eucalyptus granitica,eucalyptus,granitica,NA,eucalyptus granitica,Accepted,,L.A.S.Johnson & K.D.Hill,Mt Annan 831413,,KT631124,KT632897,KT632325
Eucalyptus gregoriensis,eucalyptus gregoriensis,eucalyptus gregoriensis,eucalyptus,gregoriensis,NA,eucalyptus gregoriensis,Accepted,,N.G.Walsh & Albr.,Currency Creek 2447,KT631717,,KT632898,KT632326
Eucalyptus gregsoniana,eucalyptus gregsoniana,eucalyptus gregsoniana,eucalyptus,gregsoniana,NA,eucalyptus gregsoniana,Accepted,,L.A.S.Johnson & Blaxell,Currency Creek 1756,KT631718,KT631125,KT632899,KT632327
Eucalyptus griffithsii,eucalyptus griffithsii,eucalyptus griffithsii,eucalyptus,griffithsii,NA,eucalyptus griffithsii,Accepted,,Maiden,Currency Creek 3637,KT631719,KT631126,KT632900,KT632328
Eucalyptus grisea,eucalyptus grisea,eucalyptus grisea,eucalyptus,grisea,NA,eucalyptus grisea,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 1271,KT631720,KT631127,KT632901,KT632329
Eucalyptus grossa,eucalyptus grossa,eucalyptus grossa,eucalyptus,grossa,NA,eucalyptus grossa,Accepted,,F.Muell. ex Benth.,CANB 794307**,KT631721,KT631128,KT632902,KT632330
Eucalyptus guilfoylei,eucalyptus guilfoylei,eucalyptus guilfoylei,eucalyptus,guilfoylei,NA,eucalyptus guilfoylei,Accepted,,Maiden,CANB 794246**,KT631722,KT631129,KT632903,KT632331
Eucalyptus gunnii,eucalyptus gunnii,eucalyptus gunnii,eucalyptus,gunnii,NA,eucalyptus gunnii,Accepted,,Hook.f.,ANBG 656505,KT631723,KT631130,KT632904,
Eucalyptus gypsophila,eucalyptus gypsophila,eucalyptus gypsophila,eucalyptus,gypsophila,NA,eucalyptus gypsophila,Accepted,,Nicolle,Currency Creek 1550,KT631724,KT631131,KT632905,KT632332
Eucalyptus haemastoma,eucalyptus haemastoma,eucalyptus haemastoma,eucalyptus,haemastoma,NA,eucalyptus haemastoma,Accepted,,Sm.,Mt Annan 20051000,KT631725,FJ494717,KT632906,KT632333
Eucalyptus hallii,eucalyptus hallii,eucalyptus hallii,eucalyptus,hallii,NA,eucalyptus hallii,Accepted,,Brooker,GenBank,,AF390512,,
Eucalyptus halophila,eucalyptus halophila,eucalyptus halophila,eucalyptus,halophila,NA,eucalyptus halophila,Accepted,,D.J.Carr & S.G.M.Carr,CANB 794338**,KT631726,KT631132,KT632907,KT632334
Eucalyptus hebetifolia,eucalyptus hebetifolia,eucalyptus hebetifolia,eucalyptus,hebetifolia,NA,eucalyptus hebetifolia,Accepted,,Brooker & Hopper,ANBG 467228,KT631727,KT631133,KT632908,
Eucalyptus herbertiana,eucalyptus herbertiana,eucalyptus herbertiana,eucalyptus,herbertiana,NA,eucalyptus herbertiana,Accepted,,Maiden,CANB 785524**,KT631728,KT631134,KT632909,KT632335
Eucalyptus histophylla,eucalyptus histophylla,eucalyptus histophylla,eucalyptus,histophylla,NA,eucalyptus histophylla,Accepted,,Brooker & Hopper,Currency Creek 3661,KT631729,KT631135,KT632910,
Eucalyptus horistes,eucalyptus horistes,eucalyptus horistes,eucalyptus,horistes,NA,eucalyptus horistes,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 1169,KT631730,KT631136,KT632911,KT632336
Eucalyptus houseana,eucalyptus houseana,eucalyptus houseana,eucalyptus,houseana,NA,eucalyptus houseana,Accepted,,W.Fitzg. ex Maiden,CANB 785535**,KT631731,KT631137,KT632912,KT632337
Eucalyptus howittiana,eucalyptus howittiana,eucalyptus howittiana,eucalyptus,howittiana,NA,eucalyptus howittiana,Accepted,,F.Muell.,Currency Creek 2526,KT631732,KT631138,HQ287629,KT632338
Eucalyptus hypolaena,eucalyptus hypolaena,eucalyptus hypolaena,eucalyptus,hypolaena,NA,eucalyptus hypolaena,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 2303,KT631733,KT631139,KT632913,KT632339
Eucalyptus ignorabilis,eucalyptus ignorabilis,eucalyptus ignorabilis,eucalyptus,ignorabilis,NA,eucalyptus ignorabilis,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 1746,KT631734,KT631140,KT632914,KT632340
Eucalyptus imlayensis,eucalyptus imlayensis,eucalyptus imlayensis,eucalyptus,imlayensis,NA,eucalyptus imlayensis,Accepted,,Crisp & Brooker,ANBG 782689,KT631735,KT631141,KT632915,
Eucalyptus impensa,eucalyptus impensa,eucalyptus impensa,eucalyptus,impensa,NA,eucalyptus impensa,Accepted,,Brooker & Hopper,Currency Creek 264,KT631736,KT631142,KT632916,KT632341
Eucalyptus incerata,eucalyptus incerata,eucalyptus incerata,eucalyptus,incerata,NA,eucalyptus incerata,Accepted,,Brooker & Hopper,Currency Creek 4678,KT631737,,KT632917,KT632342
Eucalyptus incrassata,eucalyptus incrassata,eucalyptus incrassata,eucalyptus,incrassata,NA,eucalyptus incrassata,Accepted,,Labill.,Currency Creek 1638,KT631738,KT631143,KT632918,KT632343
Eucalyptus indurata,eucalyptus indurata,eucalyptus indurata,eucalyptus,indurata,NA,eucalyptus indurata,Accepted,,Brooker & Hopper,Currency Creek 3584,KT631739,KT631144,KT632919,KT632344
Eucalyptus infera,eucalyptus infera,eucalyptus infera,eucalyptus,infera,NA,eucalyptus infera,Accepted,,A.R.Bean,Currency Creek 1254,KT631740,KT631145,KT632920,KT632345
Eucalyptus insularis,eucalyptus insularis,eucalyptus insularis,eucalyptus,insularis,NA,eucalyptus insularis,Accepted,,Brooker,Currency Creek 1637,KT631741,KT631146,KT632921,KT632346
Eucalyptus interstans,eucalyptus interstans,eucalyptus interstans,eucalyptus,interstans,NA,eucalyptus interstans,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 667,KT631742,KT631147,KT632922,KT632347
Eucalyptus intertexta,eucalyptus intertexta,eucalyptus intertexta,eucalyptus,intertexta,NA,eucalyptus intertexta,Accepted,,R.T.Baker,Currency Creek 423,KT631743,KT631148,KT632923,KT632348
Eucalyptus jacksonii,eucalyptus jacksonii,eucalyptus jacksonii,eucalyptus,jacksonii,NA,eucalyptus jacksonii,Accepted,,Maiden,CANB 794245**,KT631744,AF390529,HQ287631,KT632349
Eucalyptus jimberlanica,eucalyptus jimberlanica,eucalyptus jimberlanica,eucalyptus,jimberlanica,NA,eucalyptus jimberlanica,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3647,KT631745,KT631149,KT632924,KT632350
Eucalyptus johnsoniana,eucalyptus johnsoniana,eucalyptus johnsoniana,eucalyptus,johnsoniana,NA,eucalyptus johnsoniana,Accepted,,Brooker & Blaxell,CANB 794214**,KT631746,KT631150,KT632925,KT632351
Eucalyptus jucunda,eucalyptus jucunda,eucalyptus jucunda,eucalyptus,jucunda,NA,eucalyptus jucunda,Accepted,,C.A.Gardner,CANB 794089**,KT631747,KT631151,KT632926,KT632352
