name,cca.synonym,genus,species,subspecies,habit_tree,habit_mallee,habit_marlock,habit_shrub,height_max_m,leaf_length_mm_min,leaf_length_mm_max,leaf_width_mm_min,leaf_width_mm_max,botanical_desc
eucalyptus nebulosa,,Eucalyptus,nebulosa,NA,TRUE,FALSE,FALSE,FALSE,7,45,110,8,15,"Small tree to 7 m tall. Forming a lignotuber. -BREAK- Bark smooth, seasonally powdery, creamy white to yellowish and greeny bronze, shedding in short ribbons. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, conspicuously warty, reddish but with some wax; juvenile leaves opposite and usually sessile for many nodes (occasionally a short petiole to 0.2 cm), elliptical, 2.5--4.5 cm long, 1--2.5 cm wide, base rounded, margin entire, apex acute to apiculate, concolorous, bluish grey to glaucous. -BREAK- Adult leaves alternate, petiole 0.9--2.0 cm long; blade elliptical to falcate, 4.5--11 cm long, 0.8--1.5 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, dull, blue-grey to glaucous, side-veins acute, reticulation sparse, intramarginal vein parallel to and close to margin, oil glands island. -BREAK- Inflorescence axillary unbranched, peduncles 0.2--0.9 cm long, buds 7, 9 and 11 per umbel, sessile or with pedicels to 0.3 cm long. Mature buds clavate, ca 0.3--0.5 cm long and 0.2--0.3 cm wide, slightly glaucous, scar absent, operculum rounded with a nipple at top or not, stamens irregularly flexed, anthers reniform to cordate, versatile, dorsifixed, dehiscing by confluent slits, style short, stigma tapered, locules 3, 4 or 5, the placentae each with 2 vertical ovule rows. Flowers creamy white. -BREAK- Fruit sessile or on pedicels to 0.3 cm long, hemispherical or weakly obconical, 0.3--0.5 cm long, 0.3--0.6 cm wide, disc usually level, valves 3, 4 or 5, near rim level. -BREAK- Seeds brown to reddish brown, 1.2--2 mm long, pyramidal or obliquely pyramidal, dorsal surface smooth, hilum terminal.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): (not grown): cotyledons reniform."
eucalyptus neglecta,,Eucalyptus,neglecta,NA,TRUE,TRUE,FALSE,FALSE,7,70,180,24,90,"Tree or mallee to 7 m tall. Forming a lignotuber. -BREAK- Bark rough, fibrous, fissured longitudinally and grey to brown on trunk of larger plants, otherwise smooth, grey-green to yellow-brown, crown at times ribbony; branchlets glaucous or non-glaucous; new growth tips quite glaucous. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem square in cross-section, glaucous or non-glaucous; juvenile leaves opposite, sessile, elliptical to ovate, 4.8--7.5 cm long, 4--5.2 cm wide, margin entire or crenulate, initially glaucous but soon weathering to green. -BREAK- Crown of reproductively mature trees predominantly of juvenile leaves with some intermediate and adult lanceolate leaves. Crown leaves opposite, sub-opposite or alternate, petiole 0--2.3 cm long; blade lanceolate to ovate to elliptical to oblong, 7--18 cm long, 2.4--9 cm wide, flat or undulate, base amplexicaul to rounded or tapering, concolorous or discolorous, glossy, green to subglaucous, side-veins greater than 45° to midrib, densely to very densely reticulate, intramarginal vein well removed from margin, oil glands island and intersectional. -BREAK- Inflorescence axillary unbranched, peduncles 0--0.5 cm long, buds 7 to15 per umbel, sessile. Mature buds ovoid, 0.3--0.6 cm long, 0.3--0.5 cm wide, green and red or glaucous, slightly angled longitudinally, scar present, operculum conical to rounded, stamens irregularly flexed or inflexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white. -BREAK- Fruit sessile, cup-shaped or obconical, 0.3--0.4 cm long, 0.4--0.7 cm wide, slightly angled longitudinally, glaucous or non-glaucous, disc usually raised-annular or level, valves 3 or 4, slightly exserted or near rim level. -BREAK- Seeds brown or grey, 1--2 mm long, ovoid or flattened-ovoid, often pointed at one end, lacunose, dorsal surface pitted, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed to oblong; stems square, glaucous; leaves sessile and opposite throughout, ovate-lanceolate, 1--7 cm long, 0.5--4 cm wide, stem-clasping or the base truncate, margin entire or subcrenulate, apex rounded or emarginate, green to grey-green. -BREAK-  -BREAK-  -BREAK-"
eucalyptus neutra,,Eucalyptus,neutra,NA,FALSE,TRUE,FALSE,FALSE,6,50,110,10,20,"Mallee to 6 m tall. Forming a lignotuber. -BREAK- Bark smooth throughout, grey over cream to brown to salmon-pink to coppery (rarely yellow).  -BREAK- Branchlets often slightly glaucous; lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem square to rounded in cross-section, glaucous; juvenile leaves opposite becoming alternate further up the stem, sessile to shortly petiolate, ovate to lanceolate, the bases of lower leaves decurrent on stem, becoming rounded to tapering further up the stem, margin entire, apex pointed, 3.5--8 cm long, 1.8--4 cm wide, glaucous. -BREAK- Adult leaves alternate, petiole 1--2 cm long; blade lanceolate, 5--11(13.5) cm long, (0.7)1--2 cm wide, base tapering to petiole, concolorous, young leaves dull blue-green to rarely slightly glaucous, becoming glossy to slightly glossy green with age, side-veins at an acute or wider angle to midrib, densely reticulate, sometimes the reticulation obscure, intramarginal vein parallel to and just within margin, oil glands numerous and mostly intersectional. -BREAK- Inflorescence axillary unbranched, peduncles 0.5--1.3 cm long, buds usually 7, rarely 9, pedicellate, pedicels 0.3--0.6 cm long. Mature buds Â± ovoid (1.1--1.7 cm long, 0.3--0.6 cm wide), glaucous, scar present, operculum beaked to horn-shaped (0.7--1.2 cm long), stamens inflexed, anthers versatile, basifixed, globoid, dehiscing by broad slits, style long, stigma tapered, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers pale yellow to white. -BREAK- Fruit pedicellate, pedicels 0.2--0.5 cm long, barrel-shaped to truncate-globose, rarely urn-shaped, sometimes glaucous, 0.5--1 cm long, 0.5--0.8 cm wide, disc descending, valves 3 or 4, valve tips strongly exserted due to fragile style remnants. -BREAK- Seeds glossy brown to grey, 1.2--2 mm long, ovoid or flattened-ovoid, rarely pointed at one end, occasionally with shallow longitudinal furrows on otherwise smooth dorsal surface, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems square in cross-section and prominently winged due to decurrent leaf bases; leaves opposite, sessile, linear for the first few nodes then ovate to elliptical to lanceolate, dull grey-green to sometimes slightly glaucous on new growth, 1.2--6.7 cm long, 0.3--1.3(1.7) cm wide, leaf base decurrent on stem."
eucalyptus newbeyi,,Eucalyptus,newbeyi,NA,FALSE,TRUE,FALSE,FALSE,8,5,10,5,15,"Mallet to 8 m tall. Lignotuber absent. -BREAK- Bark smooth throughout, mottled yellow-brown and grey to creamy yellow, shedding in flakes. -BREAK- Branchlets lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): not seen. -BREAK- Adult leaves alternate, petioles 0.5--1(1.5) cm long; blade narrowly lanceolate to narrowly elliptical, 4--8 cm long, 0.5--1.5 cm wide, base tapering to petiole, margin entire, apex pointed, rarely rounded and apiculate, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, broken, intramarginal vein close to margin, oil glands obscure or scattered, very irregular, island and intersectional. -BREAK- Inflorescence axillary unbranched, peduncles down-turned, strap-like, 3--5.5 cm long, buds usually 7 per umbel, rarely 3 or 9, sessile to subsessile. Mature buds elongated, 5.2--6 cm long, 1.1--1.6 cm wide, scar present (outer operculum shed early), operculum horn-shaped, ca 3--4 times as long as the hypanthium, dilated basally, smooth, stamens erect, anthers narrowly oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma rounded, locules 3, the placentae each with 6 vertical rows of ovules. Flowers yellowish green. -BREAK- Fruit on down-turned peduncles, sessile, campanulate to obconical, 1--2.7 cm long, 1.8--2.8 cm wide, dehiscing by elliptical holes formed when the 3 valves split along the sutures but remain connected by the style base, however this connection eventually weathers and the holes coalesce, disc covering the valves. -BREAK- Seeds black, 1.5--4 mm long, ovoid to angularly so, dorsal surface shallowly reticulate, a narrow flange on at least part of the margin, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected), robust; stems rounded in cross-section, scabrid; leaves always petiolate, opposite for 4 to 6 nodes then alternate, deltoid to ovate, 3.5--5 cm long, 2.5--4.5 cm wide, green, sparsely scabrid, margin usually entire and sometimes undulate. Scabridity due to bristle-glands."
eucalyptus nicholii,,Eucalyptus,nicholii,NA,TRUE,FALSE,FALSE,FALSE,15,60,140,5,12,"Tree to 15 m tall. Forming a lignotuber. -BREAK- Bark rough to small branches, thick, fibrous, grey or grey-brown, longitudinally furrowed. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section; juvenile leaves sessile to shortly petiolate, opposite for 5 or 6 pairs then sub-opposite to alternate, linear to narrowly lanceolate, 2--6.5 cm long, 0.2--1 cm wide, dull, grey-green. -BREAK- Adult leaves alternate, petiole 0.5--1.5 cm long; blade narrowly lanceolate, 6--14 cm long, 0.5--1.2 cm wide, base tapering to petiole, concolorous, usually dull, greenish grey, side-veins acute, moderately to densely reticulate, intramarginal vein parallel to and just within margin or remote from it, oil glands mostly island. -BREAK- Inflorescence axillary unbranched, peduncles 0.3--0.8 cm long, buds 7 per umbel, pedicels 0.2--0.4 cm long. Mature buds ovoid, 0.3--0.5 cm long, 0.2--0.3 cm wide, smooth, scar present, operculum conical, stamens irregularly flexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma pin-head shaped or blunt, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white. -BREAK- Fruit on pedicels 0.1--0.3 cm long, hemispherical to campanulate or obconical, 0.3--0.4 cm long, 0.3--0.5 cm wide, disc level or disc raised-convex to annular, valves 3 or 4, slightly exserted. -BREAK- Seeds brown, 1--1.5 mm long, ovoid or flattened-ovoid, often pointed at one end, not lacunose or furrowed, dorsal surface smooth, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons oblong; stems rounded in cross-section; leaves subsessile, opposite for 5 or 6 nodes then subopposite to alternate, linear to lanceolate, 3.5--6.5 cm long, 0.2--1.2 cm wide, base tapering, margin entire, green to grey-green. -BREAK-"
eucalyptus nitens,,Eucalyptus,nitens,NA,TRUE,FALSE,FALSE,FALSE,70,100,300,15,40,"Tree to 70 m tall. Lignotuber absent, epicormic buds present. -BREAK- Bark smooth throughout or with a thin stocking of rough grey bark for basal 1 m of trunk; smooth bark predominantly pale grey to greenish-grey but with patches of white, cream or pale brown with horizontal black scars sometimes present; crown often ribbony. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem square in cross-section and prominently winged, glaucous or non-glaucous; juvenile leaves opposite and sessile for many pairs (until sapling stage), ovate to lanceolate, 6.5--11(18) cm long, 2.8--5.5(9.5) cm wide, amplexicaul, apex pointed, usually blue-green or glaucous. -BREAK- Adult leaves alternate, petiole 1--4 cm long; blade lanceolate to falcate, 10--30 cm long, 1.5--4 cm wide, base tapering to petiole, margin entire, concolorous, or slightly discolorous, glossy, green, side-veins greater than 45° to midrib, moderately to densely reticulate with erose veinlets, intramarginal vein parallel to and well removed from margin (sometimes doubled, the outer being close to margin and less prominent), oil glands usually obscure. -BREAK- Inflorescence axillary unbranched, peduncles 0.5--1.5 cm long, buds 7 per umbel, sessile. Mature buds oblong to ovoid, 0.6--0.7 cm long, 0.3--0.4 cm wide, green and pink, often slightly angled longitudinally, scar present, operculum conical, stamens inflexed or irregularly flexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long or short, stigma blunt, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white. -BREAK- Fruit sessile, cup-shaped to barrel-shaped, 0.4--0.7 cm long, 0.4--0.7 cm wide, faintly angled longitudinally, disc descending, valves 3 or 4, slightly exserted or near rim level. -BREAK- Seeds black, brown or grey, 1.5--2.5 mm long, ovoid or flattened-ovoid, often pointed at one end, lacunose, dorsal surface shallowly pitted, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed; stems square in cross-section and winged, glaucous; leaves opposite and sessile for many nodes, cordate, 4--10 cm long, 2--4 cm wide, amplexicaul, margin entire, apex pointed, dull, glaucous or blue-grey."
eucalyptus nitida,,Eucalyptus,nitida,NA,TRUE,TRUE,FALSE,FALSE,40,55,130,6,17,"Tree to 40 m tall, or a mallee to 5 m tall. Forming a lignotuber. -BREAK- Bark rough on trunk and limbs of larger trees, and on base of stems in small trees and mallees, loosely woven peppermint-type, grey, trunks of small trees or mallees sometimes entirely smooth-barked; smooth bark cream to grey-green, yellow-grey or pink-brown, scribbles present; crowns often with long ribbons of bark incompletely shed from branches. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, conspicuously warty; juvenile leaves opposite and sessile for many nodes (0.8--1.2 m tall), lanceolate to elliptical, 4.5--8.5 cm long, 1--3 cm wide, stem-clasping, lowest leaves discolorous with margin slightly denticulate and midrib underneath scabrid, upper leaves concolorous, green, not scabrid. -BREAK- Adult leaves alternate, petiole 0.4--1.7 cm long; blade lanceolate to falcate, 5.5--13 cm long, 0.6--1.7 cm wide, base tapering to petiole, concolorous, glossy, green, side-veins acute, reticulation sparse or absent, intramarginal vein parallel to and remote from margin, oil glands island. -BREAK- Inflorescence axillary unbranched, peduncles 0.2--0.9 cm long, buds 9 to ?15 per umbel, pedicels 0.1--0.6 cm long. Mature buds clavate, 0.3--0.5 cm long, 0.3--0.4 cm wide, green, scar absent, operculum rounded to conical (often narrower than the hypanthium), stamens mostly inflexed, anthers reniform to cordate, versatile, dorsifixed, dehiscing by confluent slits, style often short, stigma tapered, locules 3 or 4, the placentae each with 2 vertical ovule rows. Flowers white. -BREAK- Fruit pedicels 0--0.4 cm long, cup-shaped to hemispherical or obconical, 0.4--0.8 cm long, 0.5--0.9 cm wide, disc raised or level, valves 3 or 4, near rim level or enclosed. -BREAK- Seeds brown, 1--1.8 mm long, pyramidal or obliquely pyramidal, dorsal surface smooth, hilum terminal.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems square in cross-section, warty; leaves sessile and opposite for many nodes, cordate to lanceolate-elliptic, 4.5--8.5 cm long, 0.8--4 cm wide, base amplexicaul or truncate to rounded or tapering, margin denticulate, apex pointed, concolorous, dull, green."
eucalyptus nobilis,,Eucalyptus,nobilis,NA,TRUE,FALSE,FALSE,FALSE,70,85,210,10,30,"Tree to 70 m tall. Forming a lignotuber. -BREAK- Bark smooth, shedding in long ribbons, white and pale grey; sometimes with persistent slabs of rough grey bark at base of trunk.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded or square in cross section; juvenile leaves opposite and sessile for many pairs, ovate to lanceolate, 5--15 cm long, 1.4--6.5 cm wide, base rounded or stem clasping, glossy, green.  -BREAK- Adult leaves alternate, petiole 1--2.7 cm long; blade narrowly lanceolate to lanceolate to falcate, 8.5--21 cm long, 1--3 cm wide, flat or undulate, base tapering to petiole, concolorous, glossy, green, side-veins greater than 45° to midrib, moderately to densely reticulate, intramarginal vein parallel to and just within margin, oil glands mostly island or sometimes intersectional also. -BREAK- Inflorescence axillary unbranched, peduncles 0.6--1.2 cm long, buds 7 per umbel, on pedicels to 0.5 cm long, rarely sessile. Mature buds ovoid to fusiform, 0.4--0.7 cm long, 0.3--0.5 cm wide, scar present, operculum conical to rounded, rarely beaked, stamens irregularly flexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white.  -BREAK- Fruit on pedicels to 0.4 cm long, rarely sessile, cup-shaped or hemispherical, 0.3--0.6 cm long, 0.4--0.9 cm wide, disc raised-convex, oblique or annular, valves 3 or 4, strongly exserted.  -BREAK- Seeds brown or black, 1--2.5 mm long, ovoid or flattened-ovoid, often pointed at one end, usually lacunose, dorsal surface shallowly pitted or smooth, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed; stems square in cross-section; leaves sessile, opposite for many nodes, ovate-lanceolate, 5--9 cm long, 1.5--2.5 cm wide, amplexicaul or base rounded, margin entire, apex pointed, discolorous, glossy, green above, paler beneath."
eucalyptus normantonensis,,Eucalyptus,normantonensis,NA,TRUE,TRUE,FALSE,FALSE,8,50,110,7,20,"Mallee to 5 m tall, rarely a small tree to 8m. Forming a lignotuber. -BREAK- Bark rough and flaky, grey-brown, box-type, extending over part or all of stems, smooth above dark brown to grey-brown. -BREAK- Branchlets lack oil glands in the pith; not glaucous. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems square or rounded in cross-section; juvenile leaves always petiolate, opposite for 1 or 2 pairs then alternate, elliptical to lanceolate, 4--9.5 cm long, 1.2--4 cm wide, dull, grey-green to green.  -BREAK- Adult leaves alternate, petioles 0.8--2.2 cm long; blade lanceolate to falcate, 5--11(15.7) cm long, 0.7--2(3.2) cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, dull at first, green to grey-green but maturing glossy, green, side-veins acute to slightly greater than 45° to midrib, reticulation dense to very dense, intramarginal vein present, oil glands mostly intersectional, sometimes sparse. -BREAK- Inflorescence terminal compound, sometimes with a few solitary axillary also, peduncles slender, 0.3--2 cm long, buds 7, 9 and 11 per umbel, pedicels 0.1--0.6 cm long. Mature buds obovoid to ovoid, (0.2)0.3--0.4 cm long, 0.2--0.3 cm wide, scar present (outer operculum shed early), operculum bluntly conical to rounded, sometimes apiculate, stamens inflexed or irregularly flexed, outer stamens without anthers (staminodes), anthers Â± adnate (filament apex tapers slightly), basifixed, cuboid to globoid, dehiscing by lateral slits, style long and straight, stigma blunt to tapering, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white. -BREAK- Fruit on pedicels 0-0.5 cm long or rarely sessile, shortly cylindrical to barrel-shaped or truncate-globose, (0.25)0.3--0.5 cm long, 0.3--0.4 cm wide, disc descending vertically, valves 3 or 4, usually enclosed, sometimes at rim level. -BREAK- Seeds dark brown, 0.8--1.5 mm long, flattened-ovoid, sometimes pointed at one end, dorsal surface shallowly reticulate, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons small, reniform; stems usually square in cross-section; leaves always petiolate (petioles to 0.7 cm), opposite for 5 to 10 nodes then becoming alternate, lanceolate, 4.5--11 cm long, 0.8--2.4 cm long, base tapering to petiole, apex pointed or blunt, dull, green to blue-green or grey-green."
eucalyptus nortonii,,Eucalyptus,nortonii,NA,TRUE,FALSE,FALSE,FALSE,15,85,300,15,40,"Tree to 15 m tall. Forming a lignotuber. -BREAK- Bark rough to small branches, coarse and thick, fibrous or box-type, mottled grey and whitish or grey-brown; sometimes branches < 8 cm diameter smooth; branchlets glaucous. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, glaucous; juvenile leaves opposite and sessile for many nodes, orbicular to cordate, 2.5--9 cm long, 3--8 cm wide, conspicuously glaucous. -BREAK- Adult leaves alternate, petiole 1.4--4 cm long; blade lanceolate to falcate, 8.5--30 cm long, 1.5--4 cm wide, base tapering to petiole, concolorous, dull, blue-green or grey-green to glaucous, rarely green, side-veins greater than 45° to midrib, densely reticulate, intramarginal vein parallel to and remote from margin, oil glands obscure. -BREAK- Inflorescence axillary unbranched, peduncles 0.4--1.3 cm long, buds 7 per umbel, sessile or on pedicels to 0.2 cm long. Mature buds oblong to ovoid, 0.7--1.3 cm long, 0.3--0.6 cm wide, usually glaucous, longitudinally angled, scar present, operculum conical, stamens irregularly flexed, anthers cuboid or cuneate, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, locules 3 or 4, the placentae each with 4 vertical ovule rows in each locule. Flowers white. -BREAK- Fruit sessile or rarely with pedicels to 0.2 cm long, cup-shaped or cylindrical, 0.5--0.9(1.0) cm long, 0.5--0.7(1.0) cm wide, often slightly angled longitudinally, usually glaucous, disc level or descending, valves 3 or 4, near rim level or enclosed. -BREAK- Seeds black, brown or grey, 1.5--2.5 mm long, ovoid or flattened-ovoid, often pointed at one end, lacunose, dorsal surface shallowly pitted, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed; stems rounded in cross-section, glaucous; leaves always sessile and opposite for many nodes, orbicular to cordate, 1.5--5 cm long, 0.5--6.5 cm wide, amplexicaul, margin entire or subcrenulate, apex rounded to emarginate, glaucous."
eucalyptus notabilis,,Eucalyptus,notabilis,NA,TRUE,TRUE,FALSE,FALSE,30,70,190,15,33,"Tree to 30 m tall or rarely a mallee. Forming a lignotuber. -BREAK- Bark rough to small branches, fibrous, brown-grey, fissured longitudinally forming broad flat strips. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems square in cross-section; juvenile leaves always petiolate, opposite for about 4--7 pairs then alternate, lanceolate, 7--13 cm long, 1.8--4.5 cm wide, base rounded to tapering, discolorous, dull, green. -BREAK- Adult leaves alternate, petiole 1--3.5 cm long, lanceolate to falcate, 7--19 cm long, 1.5--3.3 cm wide, base tapering to petiole, discolorous, glossy, green, strongly penniveined, densely to very densely reticulate, intramarginal vein parallel to and remote from margin, oil glands mostly island. -BREAK- Inflorescence axillary unbranched, peduncles 0.5--1.5 cm long, 7 to ?11-flowered; buds sessile or pedicellate (pedicels 0--0.5 cm long). Mature buds ovoid to pyriform (0.8--1.2 cm long, 0.5--0.7 cm wide), sometimes with longitudinal ribs, scar present, operculum conical to rounded to beaked, stamens irregularly flexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma tapered, locules 3 or 4, the placentae each with 6 vertical rows of ovules. Flowers white. -BREAK- Fruit sessile or pedicellate (pedicels 0--0.5 cm long), hemispherical or obconical, 0.4--0.9 cm long, 0.6--1 cm wide, sometimes longitudinally ribbed, disc slightly raised, level or slightly descending, valves 3 or 4, strongly exserted. -BREAK- Seeds brown or yellow, 1--2.2 mm long, bluntly pyramidal or cuboid-ovoid, dorsal surface smooth or pitted, hilum usually terminal.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed; stems square in cross-section; leaves always petiolate, opposite for 4--6 nodes then alternate, ovate-lanceolate, 7--13 cm long, 1.8--4 cm wide, base tapering, margin entire, apex pointed, discolorous, dull, dark green above."
eucalyptus notactites,,Eucalyptus,notactites,NA,FALSE,TRUE,FALSE,TRUE,3,75,150,15,40,"Mallee to 3 m tall, sometimes a shrub. Forming a lignotuber. -BREAK- Bark smooth throughout, pale grey to grey-brown over pink-orange. -BREAK- Branchlets sometimes glaucous, always square in cross-section and sometimes winged; lacking oil glands in the pith. -BREAK- Juvenile stems square in cross-section and sometimes winged, occasionally glaucous; juvenile leaves always petiolate, opposite for ca 10 nodes then alternate, orbicular to broadly ovate, 3--12 cm long, 2.5--11 cm wide, base truncate to rounded or tapering, apex usually rounded to emarginate, sometimes pointed, dull grey-green.  -BREAK- Adult leaves alternate, petioles 1.3--3 cm long; blade lanceolate, 7.5--15 cm long, 1.5--4 cm wide, base tapering to petiole, margin entire, apex acute, concolorous, dull to slightly glossy, green to grey-green, side-veins greater than 45° to midrib, reticulation very dense, intramarginal vein fairly close to margin, oil glands scattered, irregular, intersectional.  -BREAK- Inflorescence axillary unbranched, peduncles flattened, 0.5--1.5 cm long, buds 11 to 19 per umbel, sessile to shortly pedicellate (pedicels 0-0.2 cm long). Mature buds elongated ovoid (1--1.3 cm long, 0.5--0.6 cm wide), creamy white, scar present (outer operculum shed early), operculum smooth, conical to beaked (1 to 1.5 times length of hypanthium), hypanthium weakly angled rather than ribbed, stamens inflexed, anthers cuboid, versatile, sub-basifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt to slightly rounded, locules (3)4, the placentae each with 4 vertical rows of ovules. Flowers creamy white.  -BREAK- Fruit sessile or very shortly pedicellate (pedicel 0-0.2 cm long), truncate-globose to hemispherical, weakly angled/ribbed or smooth, 0.5--0.8 cm long, 0.7--1.2 cm wide, rim thick, disc usually descending, valves (3)4, exserted but fragile.  -BREAK- Seeds grey-brown, 1--2.5 mm long, ovoid or flattened-ovoid, dorsal surface very shallowly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems square in cross-section, glaucous or not; leaves subsessile and elliptical to oblong at lower nodes becoming shortly petiolate, ovate to orbicular, alternate after 8 to 12 nodes, 3--5 cm long, 2.4--3.5 cm wide, dull, grey-green.  -BREAK-"
eucalyptus nova-anglica,,Eucalyptus,nova-anglica,NA,TRUE,FALSE,FALSE,FALSE,15,90,190,12,25,"Tree to 15 m tall. Forming a lignotuber. -BREAK- Bark rough throughout or branches < 8 cm diameter smooth; rough bark thick, fibrous, longitudinally furrowed, grey and red-brown. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, glaucous, warty, or smooth; juvenile leaves opposite, sessile, orbicular to cordate, 4--6 cm long, 3.5--6.5 cm wide, entire or crenulate, glaucous. -BREAK- Adult leaves alternate, petiole 1.5--3.5 cm long; blade lanceolate, 9--19 cm long, 1.2--2.5 cm wide, flat or undulate, base tapering to petiole, concolorous, glossy or dull, green to blue-green, side-veins greater than 45° to midrib, densely reticulate, intramarginal vein parallel to and just within margin or remote from it, oil glands mostly island. -BREAK- Inflorescence axillary unbranched, peduncles 0.5--1 cm long, buds 7 per umbel, pedicels 0.1--0.3 cm long. Mature buds ovoid to diamond-shaped, 0.4--0.5 cm long, 0.2--0.4 cm wide, green or glaucous, scar present, operculum conical, stamens inflexed or irregularly flexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt or tapered, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white. -BREAK- Fruit on pedicels to 0.2 cm long, rarely sessile, hemispherical or obconical, 0.3--0.4 cm long, 0.3--0.6 cm wide, glaucous or non-glaucous, disc raised-convex to annular, valves 3 or 4, exserted. -BREAK- Seeds dark brown or black, 1--2 mm long, ovoid or flattened-ovoid, usually lacunose, dorsal surface smooth or shallowly pitted, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed; stems rounded in cross-section, glaucous; leaves sessile, opposite for many pairs, orbicular to cordate, 2.5--4.5 cm long, 1.5--5 cm wide, base usually amplexicaul, rarely rounded or truncate, margin entire or subcrenulate, apex rounded to pointed, glaucous or blue-grey."
